id_n,Year,CONS_total,vat,VAT_Rate
172903,2018,20943000,652964,3.1%
79215,2018,69936092,3019339,4.3%
196466,2018,41547000,2311483,5.6%
264673,2018,46977500,1544828,3.3%
94060,2018,38701400,2467409,6.4%
145459,2018,20268320,729204,3.6%
106721,2018,21374320,375993,1.8%
255572,2018,22770600,591449,2.6%
198689,2018,13177000,317539,2.4%
214149,2018,24261860,1208001,5.0%
30717,2018,45306600,1312285,2.9%
135321,2018,35908960,1882875,5.2%
234195,2018,28678200,899582,3.1%
217176,2018,42240200,1595141,3.8%
6763,2018,27638000,775562,2.8%
1502,2018,37708000,1831550,4.9%
157610,2018,29095600,1140656,3.9%
98411,2018,32928800,1327605,4.0%
238202,2018,88886720,4029442,4.5%
159999,2018,20363800,743294,3.7%
132075,2018,24431120,733750,3.0%
177862,2018,57916600,2303748,4.0%
59563,2018,52363400,2847946,5.4%
18122,2018,79612600,2618580,3.3%
224576,2018,91781600,4115150,4.5%
154167,2018,20640600,1236977,6.0%
165018,2018,84659200,4341172,5.1%
136907,2018,33166600,1404681,4.2%
25138,2018,28577000,791865,2.8%
13711,2018,37028800,1287141,3.5%
276907,2018,49097000,1683316,3.4%
263049,2018,89128200,6103245,6.8%
130601,2018,20296000,1001000,4.9%
135142,2018,18601600,417240,2.2%
140583,2018,9484990,343052,3.6%
215523,2018,72405000,2754144,3.8%
36818,2018,142686600,7143852,5.0%
204184,2018,71474000,2728083,3.8%
113965,2018,63490140,1754249,2.8%
53168,2018,23059000,1400865,6.1%
223627,2018,36294600,1805240,5.0%
69356,2018,14957600,625346,4.2%
142568,2018,43149900,1671009,3.9%
32085,2018,52357000,2582461,4.9%
64222,2018,12666736,562031,4.4%
123321,2018,14946600,479422,3.2%
253128,2018,34192960,1254593,3.7%
112600,2018,63004500,1920815,3.0%
242909,2018,22655360,629656,2.8%
76139,2018,31092240,1420447,4.6%
217872,2018,96365800,4140856,4.3%
264419,2018,23775920,608637,2.6%
178294,2018,53114200,1402216,2.6%
278605,2018,32745200,1336748,4.1%
135359,2018,18585400,550014,3.0%
258273,2018,21985600,1406256,6.4%
153112,2018,31069200,957609,3.1%
238130,2018,243575000,19531595,8.0%
268349,2018,7975200,227333,2.9%
120898,2018,13378040,534038,4.0%
9409,2018,93261112,5526318,5.9%
206727,2018,73002200,2734549,3.7%
7173,2018,58429000,2416234,4.1%
178414,2018,79744000,2835034,3.6%
269395,2018,19776728,413068,2.1%
249111,2018,94623800,4664750,4.9%
215296,2018,70176800,4495077,6.4%
178105,2018,67805272,2826970,4.2%
160316,2018,17975400,706834,3.9%
110006,2018,45779160,1485348,3.2%
278195,2018,57878000,979198,1.7%
155204,2018,10985800,391135,3.6%
92346,2018,28246400,886762,3.1%
276485,2018,180897500,9328547,5.2%
32939,2018,31985800,1230823,3.8%
105104,2018,52186000,1495501,2.9%
246344,2018,9314850,335557,3.6%
44727,2018,53817200,1173342,2.2%
132555,2018,50075000,2256066,4.5%
67812,2018,38092400,1746874,4.6%
187266,2018,4978040,85106,1.7%
231451,2018,77082000,2159171,2.8%
246689,2018,51208490,1338472,2.6%
177000,2018,33066400,1557693,4.7%
279924,2018,25820000,930243,3.6%
225556,2018,127985000,6544872,5.1%
292373,2018,53394800,1067319,2.0%
153764,2018,7274840,133905,1.8%
73076,2018,34648800,1497636,4.3%
273506,2018,52979500,2544890,4.8%
52378,2018,11418600,324272,2.8%
62611,2018,7987000,204937,2.6%
128724,2018,24063420,606853,2.5%
164333,2018,123438700,4394025,3.6%
164348,2018,59476600,3360238,5.6%
229335,2018,50622000,1793178,3.5%
230555,2018,153015200,5520308,3.6%
80566,2018,59990600,1265571,2.1%
205639,2018,47152000,1106025,2.3%
48975,2018,18152920,623452,3.4%
235608,2018,94665000,3926162,4.1%
275032,2018,26677880,749791,2.8%
65289,2018,38973200,1581523,4.1%
116206,2018,38445200,2281242,5.9%
291351,2018,66403400,2946692,4.4%
207574,2018,35920244,1227565,3.4%
286810,2018,83676900,2339016,2.8%
270402,2018,37854400,1517696,4.0%
30334,2018,60569900,3302180,5.5%
278746,2018,23872000,548751,2.3%
68689,2018,115492500,5674584,4.9%
162465,2018,19853800,678472,3.4%
42015,2018,32704000,1019998,3.1%
450,2018,43736200,1519326,3.5%
91657,2018,47737800,2115440,4.4%
224422,2018,27631320,1211181,4.4%
239738,2018,25751400,1280959,5.0%
168817,2018,23387200,882029,3.8%
45580,2018,39695000,2197733,5.5%
191307,2018,18750500,506188,2.7%
3319,2018,76903000,2701937,3.5%
154782,2018,7125000,124730,1.8%
41046,2018,33762000,1231085,3.6%
3172,2018,69496040,3432379,4.9%
267485,2018,33494200,2153079,6.4%
106399,2018,25100960,1043224,4.2%
43236,2018,18240800,213360,1.2%
36995,2018,33699200,1126292,3.3%
151311,2018,39407000,1675503,4.3%
78995,2018,73571000,3678063,5.0%
109415,2018,107306000,4196025,3.9%
271766,2018,24806600,553935,2.2%
272766,2018,57929304,1119928,1.9%
35384,2018,18937000,813798,4.3%
202747,2018,47000400,1390986,3.0%
241552,2018,38815000,1128850,2.9%
151257,2018,94864000,6357432,6.7%
130857,2018,60788100,2350567,3.9%
249124,2018,17174000,374198,2.2%
101179,2018,17003400,455591,2.7%
68879,2018,52895400,2864207,5.4%
3432,2018,37561400,1565263,4.2%
66201,2018,71814000,2891247,4.0%
39880,2018,51245600,1348861,2.6%
60288,2018,15296400,868544,5.7%
259854,2018,63227000,633937,1.0%
252536,2018,6280720,94688,1.5%
143766,2018,24670800,1196899,4.9%
99612,2018,10133000,351319,3.5%
143220,2018,120463766,4803636,4.0%
176045,2018,95104200,3023616,3.2%
133356,2018,22062200,575337,2.6%
134686,2018,8566600,110119,1.3%
183233,2018,57549600,2078377,3.6%
82681,2018,18191000,504613,2.8%
187594,2018,27946000,1102083,3.9%
70396,2018,26646000,1478075,5.5%
11823,2018,77435200,3391346,4.4%
216782,2018,35786800,979694,2.7%
192700,2018,11704640,345820,3.0%
250280,2018,231274064,7625923,3.3%
288379,2018,90528600,3676508,4.1%
34942,2018,60576000,2448150,4.0%
255100,2018,7067600,195225,2.8%
68120,2018,22904600,726694,3.2%
212249,2018,54740000,1723730,3.1%
119115,2018,67487465,3036622,4.5%
181634,2018,55165000,1903694,3.5%
123717,2018,57284800,1678634,2.9%
57799,2018,18432000,868377,4.7%
292819,2018,67458200,1422974,2.1%
147053,2018,46370960,1668473,3.6%
15356,2018,36589000,1711613,4.7%
246540,2018,72043684,2978737,4.1%
105567,2018,29466800,1487867,5.0%
209436,2018,53003800,2022386,3.8%
256718,2018,19294360,659998,3.4%
89383,2018,55798400,1281180,2.3%
284564,2018,80810000,3661442,4.5%
276034,2018,77346908,2098407,2.7%
44658,2018,52046200,2014144,3.9%
184341,2018,24739000,1036425,4.2%
22428,2018,40848600,1228859,3.0%
254178,2018,81074680,2916311,3.6%
159106,2018,25896276,1146523,4.4%
82306,2018,21094000,641468,3.0%
149654,2018,9910400,315961,3.2%
139885,2018,22956800,735717,3.2%
214913,2018,87937200,4015575,4.6%
97283,2018,27979280,1038545,3.7%
53757,2018,43418000,1773250,4.1%
68769,2018,47565400,1837182,3.9%
89091,2018,59848640,2611945,4.4%
235751,2018,34636400,1409784,4.1%
270254,2018,45977360,580915,1.3%
122166,2018,5606000,123081,2.2%
16948,2018,63985541,1747254,2.7%
44706,2018,44293600,1806933,4.1%
34814,2018,34767996,1332288,3.8%
26666,2018,38380800,1650362,4.3%
19868,2018,35009400,1564933,4.5%
100594,2018,20211556,918375,4.5%
192428,2018,65816600,1725018,2.6%
77150,2018,132942650,3118937,2.3%
157851,2018,48172600,2282586,4.7%
209077,2018,79807000,4287423,5.4%
102195,2018,118074000,6997838,5.9%
107794,2018,30938400,582535,1.9%
135904,2018,14639680,297476,2.0%
6318,2018,58820004,2056207,3.5%
39746,2018,53696996,1550530,2.9%
13419,2018,27368400,843553,3.1%
166819,2018,19746800,661390,3.3%
122607,2018,76199225,4710413,6.2%
262058,2018,20871200,341000,1.6%
197293,2018,87105000,2583445,3.0%
150257,2018,14722000,185485,1.3%
135059,2018,59003604,1343625,2.3%
