id_n,Year,CONS_Nonfood,vat,vat1,vat2,vat_diff
69703,2018,14910000,431874,431874,1477568,1045694
97452,2018,17223120,1145090,1145090,1706796,561706
3134,2018,14174000,868703,868703,1404631,535928
267144,2018,25895600,1474109,1474109,2566231,1092122
228993,2018,53227000,2805000,2805000,5274748,2469748
139110,2018,68486888,3628414,3628414,6768160,3139746
13950,2018,12821000,985441,985441,1270550,285108
250597,2018,16738000,1134586,1134586,1658721,524135
121435,2018,6270000,411955,411955,621351,209396
196812,2018,7289000,362901,362901,722333,359432
107522,2018,21163000,1220108,1220108,2097234,877126
144526,2018,7200000,250820,250820,713514,462694
41755,2018,35926000,2134595,2134595,3560234,1425640
291600,2018,12650000,763063,763063,1253604,490541
233981,2018,38884000,1693505,1693505,3670036,1976532
198225,2018,9454100,216928,216928,936893,719965
209533,2018,41672000,2388635,2388635,4129658,1741023
70112,2018,8324000,417703,417703,824901,407198
214125,2018,58540000,4586802,4586802,5801261,1214459
153064,2018,12729900,213945,213945,1261522,1047577
117770,2018,2418500,62987,62987,239671,176684
8042,2018,4904000,279162,279162,485982,206820
135415,2018,17599300,935327,935327,1718210,782883
241036,2018,12286000,782090,782090,1202964,420874
166244,2018,24243000,1326144,1326144,2402459,1076315
266869,2018,4037700,202033,202033,397853,195820
53288,2018,39428000,2473514,2473514,3907279,1433766
258174,2018,32536000,1945910,1945910,3224288,1278378
112815,2018,3540000,334261,334261,350811,16550
172918,2018,168225996,14156207,14156207,16671045,2514838
162463,2018,13195000,696766,696766,1307613,610847
40910,2018,15125000,962252,962252,1498874,536622
129750,2018,31396150,1660718,1660718,3111330,1450613
165627,2018,1445000,59757,59757,143198,83441
169158,2018,22072400,1084184,1084184,2187355,1103171
26879,2018,54449000,2760901,2760901,5380982,2620081
8393,2018,20193996,1336351,1336351,1951657,615306
117,2018,8272600,398081,398081,811978,413897
6882,2018,9329000,530775,530775,924495,393721
34801,2018,10042000,591919,591919,995153,403234
180231,2018,36709400,1831094,1831094,3637868,1806775
117718,2018,11565400,554004,554004,1135220,581216
45325,2018,13003000,823613,823613,1285117,461505
262117,2018,12110000,292541,292541,1200090,907550
266868,2018,23435000,1972667,1972667,2314162,341495
28127,2018,21026000,674270,674270,2083658,1409387
184591,2018,7437000,273910,273910,737000,463090
125102,2018,8525000,634036,634036,844820,210784
142657,2018,4269000,167477,167477,423054,255577
111117,2018,30411000,1317423,1317423,3013703,1696279
269191,2018,11710200,920254,920254,1160470,240216
141877,2018,72454800,6153043,6153043,7180205,1027162
242622,2018,32239800,2033989,2033989,3175512,1141523
66467,2018,29219000,1996450,1996450,2796477,800027
279467,2018,22547000,1069775,1069775,2234387,1164613
116586,2018,7256700,368252,368252,719132,350880
118451,2018,19998379,1049063,1049063,1962002,912938
205424,2018,12831000,867712,867712,1271541,403829
175097,2018,17886000,1056991,1056991,1768027,711036
133654,2018,14375000,1170261,1170261,1424550,254288
13962,2018,17223000,1117144,1117144,1677054,559910
20509,2018,16466570,584804,584804,1582174,997370
9963,2018,12687940,823514,823514,1257363,433850
283227,2018,9042000,367559,367559,896054,528495
281692,2018,4207000,91171,91171,413838,322667
121356,2018,6176400,405058,405058,612076,207018
289972,2018,12819000,121892,121892,1270351,1148459
235367,2018,6775000,296009,296009,671396,375387
278280,2018,19433000,1452099,1452099,1925793,473694
19205,2018,2973600,152177,152177,294681,142505
199657,2018,25510000,2398396,2398396,2528018,129622
3991,2018,14122000,922117,922117,1399477,477360
47256,2018,28411000,654649,654649,2815505,2160856
22522,2018,9616000,523441,523441,952937,429495
72489,2018,15906600,567303,567303,1576330,1009027
79749,2018,22771000,1342991,1342991,2256586,913595
43644,2018,7279000,481622,481622,721342,239721
39668,2018,21217173,1326937,1326937,2102603,775666
225914,2018,11615000,633144,633144,1118532,485387
59577,2018,18468000,946793,946793,1830162,883369
236235,2018,13131400,494544,494544,1301310,806766
293721,2018,8133000,438315,438315,805973,367658
13248,2018,7318000,192550,192550,725207,532658
59271,2018,5254000,188387,188387,520667,332279
69894,2018,5166000,362802,362802,511946,149144
81804,2018,35616644,2153195,2153195,3503415,1350220
117744,2018,4234704,206968,206968,419655,212687
35799,2018,15600800,964710,964710,1546025,581315
66439,2018,196585800,17374351,17374351,19481476,2107124
72876,2018,19660000,1188099,1188099,1948288,760189
7529,2018,20048000,1162631,1162631,1978613,815982
145238,2018,3665600,94402,94402,363258,268856
192508,2018,20447000,1653667,1653667,1986144,332477
100114,2018,7551000,294126,294126,748297,454171
167035,2018,4162000,233973,233973,412450,178477
179762,2018,24413000,1399378,1399378,2415045,1015667
276393,2018,46164800,3748404,3748404,4525341,776937
226698,2018,7003000,372414,372414,693991,321577
29022,2018,16394000,419883,419883,1614721,1194838
166576,2018,6450600,233933,233933,639249,405315
151141,2018,5009000,333766,333766,487568,153802
182989,2018,33490704,1521935,1521935,3318899,1796964
71090,2018,6288000,341099,341099,623135,282036
67165,2018,10341000,668324,668324,1024784,356459
243171,2018,14756472,955811,955811,1454326,498515
283575,2018,11954000,563874,563874,1184631,620757
25854,2018,12645472,631638,631638,1253155,621517
193109,2018,25299000,1149748,1149748,2502153,1352405
4806,2018,15184000,922514,922514,1504721,582207
271026,2018,25296000,1742261,1742261,2506811,764550
211063,2018,25934000,2002991,2002991,2570036,567045
249196,2018,12875200,769108,769108,1275921,506813
229838,2018,61450000,3297523,3297523,6089640,2792117
239643,2018,66005000,2688261,2688261,6541036,3852775
129812,2018,1666100,102449,102449,165109,62660
236799,2018,14659000,1152423,1152423,1452694,300270
64682,2018,8002000,390450,390450,792991,402541
215192,2018,25295000,1915586,1915586,2484414,568829
59686,2018,16647000,947387,947387,1649703,702315
245290,2018,3014000,169757,169757,298685,128928
33828,2018,5341000,210090,210090,529288,319198
147980,2018,14832800,766710,766710,1450890,684180
6387,2018,27142000,1856126,1856126,2681423,825297
36998,2018,19230000,1073045,1073045,1873369,800324
268342,2018,27631000,1671505,1671505,2716505,1045000
157917,2018,13977500,899225,899225,1368014,468788
195067,2018,3076800,75989,75989,303521,227532
9240,2018,29483100,1276505,1276505,2919370,1642865
55860,2018,10352000,550694,550694,1017748,467054
51650,2018,42970000,2658135,2658135,3663694,1005559
268514,2018,5862400,230643,230643,573526,342883
249764,2018,8737770,245964,245964,862932,616968
289188,2018,10284000,190865,190865,994063,803198
79882,2018,17954000,1193153,1193153,1779225,586072
110972,2018,14372000,888721,888721,1424252,535532
222082,2018,61348600,3806753,3806753,6079591,2272838
126541,2018,8330000,427514,427514,805676,378162
185811,2018,25054000,1943036,1943036,2482829,539793
266788,2018,5502800,239027,239027,542478,303451
57427,2018,17766000,847297,847297,1751477,904180
137795,2018,35211700,971369,971369,3489448,2518078
249144,2018,70398000,3072865,3072865,6976378,3903514
204099,2018,229255600,19868141,19868141,22719023,2850883
103689,2018,31321000,1797459,1797459,3103883,1306423
170365,2018,20100920,1074234,1074234,1991983,917749
32812,2018,12700800,776778,776778,1237431,460652
115851,2018,11473400,494247,494247,1130364,636117
2405,2018,9913000,767423,767423,982369,214946
70413,2018,6660000,381928,381928,660000,278072
196564,2018,22961000,1356072,1356072,2136676,780604
26829,2018,13671000,598162,598162,1354784,756622
161188,2018,8653392,471493,471493,857543,386050
117555,2018,43885500,1932383,1932383,4349014,2416631
259559,2018,26904000,2244991,2244991,2659126,414135
37898,2018,13405200,1222110,1222110,1328443,106333
246212,2018,102265500,6252113,6252113,10134419,3882306
84871,2018,25803000,1372027,1372027,2557054,1185027
274096,2018,9127000,184027,184027,904477,720450
70850,2018,6078200,347659,347659,599966,252306
151597,2018,3052000,118423,118423,299874,181450
58244,2018,32369000,2246477,2246477,3207739,961261
51989,2018,18925000,1154405,1154405,1875450,721045
4335,2018,12191000,690622,690622,1198207,507586
147744,2018,7109000,363198,363198,699243,336045
283112,2018,13514000,816081,816081,1339225,523144
294020,2018,8939000,208009,208009,884757,676748
11725,2018,12107000,762964,762964,1190081,427117
245494,2018,14717800,951629,951629,1458521,506892
198132,2018,13562000,796955,796955,1343982,547027
222940,2018,23201000,1024288,1024288,2299198,1274910
220669,2018,21478000,1087414,1087414,2116757,1029342
178013,2018,13061000,1206432,1206432,1285315,78883
266633,2018,20247000,1300279,1300279,1956910,656631
126171,2018,3809000,60649,60649,377468,316820
260726,2018,14911000,693694,693694,1477667,783973
279150,2018,13385000,618874,618874,1326441,707568
271794,2018,28173000,1698955,1698955,2759712,1060757
188856,2018,124628000,10913486,10913486,11714306,800820
272716,2018,19713000,856811,856811,1953541,1096730
105370,2018,5935600,416375,416375,588213,171838
268045,2018,41025912,2685823,2685823,4061171,1375348
170670,2018,18346000,502432,502432,1818072,1315640
47473,2018,79910000,7031081,7031081,7919009,887928
28526,2018,49425000,1912514,1912514,4897973,2985459
23909,2018,18155000,1528505,1528505,1799144,270640
93095,2018,13789800,630052,630052,1349710,719658
5072,2018,8888000,567045,567045,880793,313748
