id_n,Year,CONS_total,vat,vat1,vat2,vat_diff
40367,2018,28850560,952198,1029164,1029164,0
228171,2018,28855120,880052,1413544,1413544,0
140829,2018,28855900,964998,1206968,1206968,0
13027,2018,28859800,1205282,2148355,2148355,0
94234,2018,28862100,1331645,3445732,3445732,0
45377,2018,28863000,952418,27128696,27128696,0
273730,2018,28864670,782577,801227,801227,0
120195,2018,28866900,862519,635475,635475,0
246349,2018,28867400,771082,1918012,1918012,0
122980,2018,28867680,1162092,2610733,2610733,0
211901,2018,28868000,1269360,1345265,1345265,0
43158,2018,28868000,954409,1414978,1414978,0
55749,2018,28871200,924173,2566944,2566944,0
20473,2018,28872000,1313840,1067448,1067448,0
117718,2018,28873080,901110,2008056,2008056,0
142922,2018,28882208,1323197,1225737,1225737,0
157024,2018,28885600,1385027,3214557,3214557,0
175138,2018,28886000,1058378,1213778,1213778,0
74815,2018,28887200,1052146,4972169,4972169,0
236517,2018,28887880,994326,1246171,1246171,0
23113,2018,28890600,1261191,2845474,2845474,0
234419,2018,28892800,659701,114664,114664,0
277875,2018,28893200,1151948,1785509,1785509,0
56458,2018,28898400,1063622,2274196,2274196,0
11180,2018,28900600,972967,2008461,2008461,0
200158,2018,28905500,827378,3362541,3362541,0
259016,2018,28920372,883876,1414637,1414637,0
167987,2018,28921100,547679,2202159,2202159,0
271676,2018,28922400,865656,2447173,2447173,0
255591,2018,28926000,1177991,3394378,3394378,0
23112,2018,28928000,1265917,4284987,4284987,0
281272,2018,28930000,938865,1087697,1087697,0
199128,2018,28932000,887982,4571930,4571930,0
218182,2018,28932000,1263216,2369162,2369162,0
203081,2018,28934000,1431595,1677520,1677520,0
98432,2018,28938000,902912,9954901,9954901,0
115571,2018,28938000,1024155,1986652,1986652,0
268307,2018,28940655,1523599,1668552,1668552,0
171654,2018,28942280,1071720,1969348,1969348,0
129655,2018,28943000,1101090,2524847,2524847,0
274902,2018,28947000,1116364,4249043,4249043,0
91229,2018,28949000,1014279,870454,870454,0
276553,2018,28950904,1206784,506573,506573,0
193941,2018,28954700,963511,2504115,2504115,0
224257,2018,28956520,716861,775748,775748,0
94751,2018,28960600,1437730,2752530,2752530,0
72010,2018,28962000,1029342,2874195,2874195,0
63233,2018,28962100,798981,509907,509907,0
57265,2018,28963000,987110,1534550,1534550,0
226129,2018,28966800,878077,1145284,1145284,0
235122,2018,28969000,886789,229150,229150,0
116985,2018,28969200,1045758,1213737,1213737,0
1078,2018,28972400,631360,441110,441110,0
234648,2018,28975200,661959,3304440,3304440,0
22280,2018,28977400,707627,1057151,1057151,0
255274,2018,28981000,1183070,845982,845982,0
126728,2018,28981200,723524,290737,290737,0
289826,2018,28982800,1230875,590658,590658,0
145696,2018,28995800,1122160,955914,955914,0
24578,2018,28996200,1035809,1680808,1680808,0
278201,2018,29000000,959924,332923,332923,0
3145,2018,29000400,519715,705780,705780,0
104790,2018,29001800,1225440,1500283,1500283,0
202588,2018,29002000,521018,964351,964351,0
199397,2018,29004000,730261,1327368,1327368,0
201996,2018,29008500,543641,311390,311390,0
140938,2018,29011700,1129307,1065771,1065771,0
26126,2018,29012744,747537,703960,703960,0
13097,2018,29014664,1188592,3143919,3143919,0
10334,2018,29016936,1112825,1794523,1794523,0
91823,2018,29018000,1538414,602061,602061,0
11181,2018,29026800,990380,2677191,2677191,0
15234,2018,29027000,1352050,8278641,8278641,0
12985,2018,29029000,970339,1773429,1773429,0
70414,2018,29030400,1314335,3351776,3351776,0
11207,2018,29032400,1193748,2058788,2058788,0
241034,2018,29034600,1381000,942550,942550,0
92436,2018,29037800,918483,2575618,2575618,0
95581,2018,29039720,558341,1692647,1692647,0
49129,2018,29041000,790117,4847330,4847330,0
93595,2018,29048600,1051769,538009,538009,0
232875,2018,29052000,974888,2889775,2889775,0
109162,2018,29055000,1641775,282829,282829,0
293705,2018,29055800,978343,2849888,2849888,0
141352,2018,29058000,847464,1877789,1877789,0
113116,2018,29060120,1288497,2469651,2469651,0
207232,2018,29060600,879890,1160371,1160371,0
45466,2018,29061800,869566,1156503,1156503,0
64434,2018,29062000,685638,295440,295440,0
218983,2018,29064560,1766567,654514,654514,0
40194,2018,29067000,1117323,4865606,4865606,0
65994,2018,29068800,1070027,1478386,1478386,0
294315,2018,29069960,950112,1939092,1939092,0
59354,2018,29070036,1222557,1631757,1631757,0
99711,2018,29070684,1093030,564153,564153,0
48897,2018,29072800,999766,1634577,1634577,0
1057,2018,29083000,915973,921780,921780,0
170683,2018,29088680,638224,1129063,1129063,0
143650,2018,29090200,731312,1507931,1507931,0
164549,2018,29091400,895119,1588254,1588254,0
224521,2018,29093000,557928,2333775,2333775,0
174086,2018,29093360,1700861,1105277,1105277,0
169881,2018,29093960,1077647,135243,135243,0
157610,2018,29095600,1140656,647445,647445,0
64475,2018,29101600,938568,908921,908921,0
20852,2018,29104000,1109910,2809443,2809443,0
147782,2018,29104368,1150577,2732463,2732463,0
5631,2018,29108000,966497,5171288,5171288,0
70875,2018,29110540,1654302,211224,211224,0
107590,2018,29113432,1107404,423514,423514,0
211858,2018,29115080,1887608,1545401,1545401,0
194460,2018,29116400,654326,1628447,1628447,0
203433,2018,29118200,1655946,1334905,1334905,0
294097,2018,29120000,832240,324805,324805,0
188643,2018,29124600,272820,3701322,3701322,0
238886,2018,29124800,301103,1117144,1117144,0
141664,2018,29128000,1168081,16313595,16313595,0
75183,2018,29128800,1158222,2578054,2578054,0
27979,2018,29129000,1177602,5088492,5088492,0
60331,2018,29130387,1052487,3203180,3203180,0
276955,2018,29135000,611739,729766,729766,0
31763,2018,29136800,1034141,1011845,1011845,0
197156,2018,29139400,731914,604477,604477,0
185945,2018,29141600,1295807,2801977,2801977,0
150182,2018,29142360,889687,1241775,1241775,0
8962,2018,29144800,1049975,644323,644323,0
237306,2018,29145800,1044770,4986533,4986533,0
232380,2018,29146000,1060002,733912,733912,0
248844,2018,29149176,1362256,1550306,1550306,0
135541,2018,29150000,132991,2377784,2377784,0
64662,2018,29156200,1327036,993210,993210,0
82993,2018,29156560,964027,480849,480849,0
53836,2018,29160200,1368687,4034473,4034473,0
48792,2018,29166000,1071251,1480654,1480654,0
152094,2018,29166640,1069133,1362744,1362744,0
114422,2018,29168200,1999018,1547355,1547355,0
201112,2018,29168600,516009,959863,959863,0
72164,2018,29169600,1457609,437324,437324,0
21742,2018,29171988,1123407,757223,757223,0
228347,2018,29181000,1100876,991825,991825,0
265761,2018,29186000,661312,4588198,4588198,0
147888,2018,29191300,1176108,1085095,1085095,0
252401,2018,29191800,1574014,1486699,1486699,0
274396,2018,29195664,1032833,797550,797550,0
264502,2018,29198900,1115778,3320409,3320409,0
107493,2018,29199300,483306,3672126,3672126,0
100987,2018,29203100,1332794,2279701,2279701,0
100909,2018,29204800,1134741,806114,806114,0
129066,2018,29208250,1081142,1844532,1844532,0
136399,2018,29210000,842838,1282015,1282015,0
287624,2018,29219360,853403,2968315,2968315,0
241892,2018,29222720,898554,209330,209330,0
22683,2018,29223000,1179247,1261590,1261590,0
223588,2018,29224520,846948,3073318,3073318,0
254073,2018,29225096,1463714,4100317,4100317,0
63696,2018,29232680,614768,5442364,5442364,0
76567,2018,29232800,972467,3831593,3831593,0
240320,2018,29243800,1168575,1877736,1877736,0
274183,2018,29244000,1065811,602027,602027,0
216130,2018,29244600,1330903,1009444,1009444,0
289082,2018,29245000,488820,4753784,4753784,0
72348,2018,29248400,1623977,1128049,1128049,0
275799,2018,29249988,1651227,1485149,1485149,0
264432,2018,29256040,1016800,2435768,2435768,0
103512,2018,29256400,825773,1919063,1919063,0
35875,2018,29257000,425432,4735306,4735306,0
276688,2018,29257400,622611,642876,642876,0
244914,2018,29259200,1120137,826368,826368,0
154842,2018,29260800,1186247,1196605,1196605,0
275126,2018,29261000,872445,255160,255160,0
237806,2018,29261600,1372404,279042,279042,0
2012,2018,29263000,1104034,1751901,1751901,0
61725,2018,29265000,773339,1366200,1366200,0
94558,2018,29269200,1603503,1105514,1105514,0
171641,2018,29276960,977057,4720592,4720592,0
4464,2018,29277200,571802,1529478,1529478,0
149841,2018,29278200,1036928,471683,471683,0
119394,2018,29278600,1011845,192607,192607,0
32377,2018,29279800,665903,2433418,2433418,0
134808,2018,29284600,1107980,1445380,1445380,0
37452,2018,29287200,1056503,9526040,9526040,0
207718,2018,29293000,1086324,3081505,3081505,0
93923,2018,29297400,755997,2592716,2592716,0
42846,2018,29300200,289344,1117260,1117260,0
55951,2018,29303000,985368,1008849,1008849,0
30642,2018,29306216,1125443,930263,930263,0
278455,2018,29306600,997505,1125322,1125322,0
232513,2018,29312600,1949295,1609397,1609397,0
212065,2018,29313200,898373,1560786,1560786,0
71616,2018,29317900,727051,663235,663235,0
8541,2018,29322640,954256,2314002,2314002,0
49545,2018,29327000,864261,937470,937470,0
280704,2018,29331952,1147021,1760485,1760485,0
22304,2018,29333000,652283,13129208,13129208,0
7277,2018,29337928,820355,1457886,1457886,0
47999,2018,29342920,1246387,1261175,1261175,0
47593,2018,29347200,835050,2230059,2230059,0
56147,2018,29350000,1051243,186083,186083,0
194639,2018,29351000,292342,1425957,1425957,0
43764,2018,29352600,1230593,2622417,2622417,0
9715,2018,29354384,1543210,1595129,1595129,0
43348,2018,29356000,724514,1029195,1029195,0
52912,2018,29359604,912894,1426095,1426095,0
220837,2018,29367400,1153284,550072,550072,0
220193,2018,29371400,1204474,9534624,9534624,0
153182,2018,29372600,844395,4135867,4135867,0
204958,2018,29373000,1136964,4021553,4021553,0
12049,2018,29374200,1141523,253991,253991,0
293270,2018,29374320,619290,1959697,1959697,0
92659,2018,29375200,1218663,2575953,2575953,0
254393,2018,29375680,1178755,1739189,1739189,0
255384,2018,29378600,1501886,7709155,7709155,0
104521,2018,29384200,909700,2565618,2565618,0
59253,2018,29384800,993996,1147532,1147532,0
150632,2018,29387200,1070924,968897,968897,0
30379,2018,29389000,605274,897937,897937,0
115798,2018,29391060,1318977,712423,712423,0
183541,2018,29404000,825479,2894409,2894409,0
18485,2018,29404800,1065359,1189054,1189054,0
23466,2018,29409000,869678,3867897,3867897,0
116285,2018,29411400,1246706,1808431,1808431,0
281625,2018,29412000,1439683,912445,912445,0
176206,2018,29413000,972659,1587535,1587535,0
102170,2018,29414160,437741,639456,639456,0
11677,2018,29415000,1031820,1730316,1730316,0
14001,2018,29415628,1252910,519715,519715,0
134752,2018,29421502,1231475,1892631,1892631,0
271302,2018,29422400,1069744,1326552,1326552,0
77442,2018,29423500,1300826,710177,710177,0
5514,2018,29426868,1304032,3256595,3256595,0
92624,2018,29429400,321350,768242,768242,0
102946,2018,29431600,604386,543404,543404,0
65697,2018,29432000,890984,4379052,4379052,0
50962,2018,29434788,1228272,816633,816633,0
126765,2018,29438900,1206013,230280,230280,0
35755,2018,29443600,1618559,1147762,1147762,0
59857,2018,29443800,1061609,1732620,1732620,0
55919,2018,29449200,1266148,1957207,1957207,0
135645,2018,29450400,990611,830431,830431,0
32103,2018,29451000,818146,3268545,3268545,0
175848,2018,29452200,762119,2676562,2676562,0
216345,2018,29453000,705780,1689042,1689042,0
218968,2018,29459320,876188,1155633,1155633,0
13762,2018,29459400,1056703,2488759,2488759,0
68868,2018,29463400,1154155,676940,676940,0
76020,2018,29464223,1183682,1147525,1147525,0
188283,2018,29464400,891495,2791209,2791209,0
17006,2018,29465000,811919,6627009,6627009,0
105567,2018,29466800,1487867,699948,699948,0
89147,2018,29473480,1426928,3676378,3676378,0
212124,2018,29478200,1057380,1713265,1713265,0
10592,2018,29478936,1284491,2038416,2038416,0
66146,2018,29482000,308773,2541948,2541948,0
46085,2018,29482400,989505,277588,277588,0
35209,2018,29484000,908649,684178,684178,0
76185,2018,29488400,1219187,922826,922826,0
50287,2018,29489000,1154027,112656,112656,0
148246,2018,29489280,1376240,1599539,1599539,0
79626,2018,29490120,1003282,1391447,1391447,0
179263,2018,29490200,1472185,1628400,1628400,0
12558,2018,29501200,1045706,2815965,2815965,0
120047,2018,29501568,1274276,1195398,1195398,0
158505,2018,29502000,527029,1021310,1021310,0
194794,2018,29503800,502566,526516,526516,0
118763,2018,29506920,1352249,1754461,1754461,0
141574,2018,29510500,1159350,436432,436432,0
257826,2018,29511504,1375189,613443,613443,0
292548,2018,29513000,801631,1081330,1081330,0
202165,2018,29531600,462948,730069,730069,0
