id_n,Year,CONS_total,vat,vat1,vat2,vat_diff
44048,2018,46253000,2307324,2307324,2494607,187283
196049,2018,26442800,559791,559791,605229,45438
197564,2018,18607480,339481,339481,367076,27594
291285,2018,22867200,634512,634512,686122,51610
121195,2018,61311480,2737416,2737416,2959619,222203
93118,2018,21950200,908818,908818,982586,73768
184621,2018,33452400,1342119,1342119,1451057,108938
58627,2018,15886800,395059,395059,427131,32071
201475,2018,35499000,616876,616876,666966,50091
203345,2018,65534400,2037899,2037899,2203315,165416
251365,2018,70976600,4865409,4865409,5260329,394920
31917,2018,13272960,287780,287780,311139,23359
192537,2018,35932400,1440377,1440377,1557295,116919
73434,2018,25710600,1125734,1125734,1217117,91383
71510,2018,17578320,797351,797351,862071,64720
106175,2018,17538000,388350,388350,419871,31522
75829,2018,29663160,1063137,1063137,1149440,86303
209968,2018,49441000,2096638,2096638,2266834,170195
179242,2018,89808600,4611766,4611766,4986156,374390
192918,2018,37299000,1188595,1188595,1285071,96477
76778,2018,84374600,2543186,2543186,2749615,206430
98413,2018,60750600,1992639,1992639,2154380,161741
73622,2018,41594800,1637910,1637910,1770857,132947
29076,2018,57369000,1908306,1908306,2063226,154920
226627,2018,41475480,1058914,1058914,1144864,85951
26894,2018,129072292,5076064,5076064,5488141,412077
216641,2018,54710760,1690539,1690539,1827759,137219
283820,2018,22639000,471639,471639,510382,38743
227446,2018,61330400,2572283,2572283,2781111,208828
266064,2018,36636780,988061,988061,1068338,80277
120524,2018,21493600,978674,978674,1058117,79443
259099,2018,35797864,1389745,1389745,1502554,112809
170812,2018,37661400,1295048,1295048,1400185,105138
250813,2018,38057120,1508825,1508825,1631305,122479
123448,2018,59214000,2973009,2973009,3214359,241350
124883,2018,17345400,381016,381016,411997,30981
72106,2018,19091800,644937,644937,697286,52349
112810,2018,30423360,1095824,1095824,1184821,88996
114689,2018,105265200,3582622,3582622,3873424,290802
113510,2018,31267800,1496204,1496204,1617651,121448
44954,2018,109828800,4343007,4343007,4695573,352566
37663,2018,76807280,2698703,2698703,2917896,219193
243629,2018,47835840,2102589,2102589,2273293,170704
72351,2018,24545000,1020647,1020647,1103521,82874
69358,2018,65467000,3466782,3466782,3748194,281412
232939,2018,52300000,1727277,1727277,1867479,140201
193188,2018,145238200,7761268,7761268,8391244,629976
256165,2018,20847800,477613,477613,516404,38792
133576,2018,46110400,1643450,1643450,1776852,133402
246728,2018,26099000,1401420,1401420,1515171,113752
62641,2018,16203600,293357,293357,317188,23831
293366,2018,18046120,627442,627442,678778,51336
53258,2018,89474800,3517697,3517697,3803313,285616
6775,2018,29649000,1389420,1389420,1502256,112836
243206,2018,26189000,639486,639486,691393,51906
275972,2018,22761600,714766,714766,772856,58090
233283,2018,30023400,1633260,1633260,1765869,132609
92316,2018,91254000,2037200,2037200,2205586,168386
157292,2018,58682000,1770020,1770020,1913722,143702
244119,2018,53970600,2253260,2253260,2436174,182914
240750,2018,36365000,1735797,1735797,1876777,140981
51058,2018,33259000,1693703,1693703,1831179,137476
133869,2018,30321400,1224252,1224252,1323633,99381
31463,2018,69869000,2388735,2388735,2582685,193950
75417,2018,21543440,1273658,1273658,1377051,103393
264754,2018,50239860,1914047,1914047,2069447,155400
136431,2018,15359200,661955,661955,715700,53745
167843,2018,37263200,2277586,2277586,2462456,184870
115174,2018,27542680,1177690,1177690,1273316,95626
79582,2018,44403800,1632658,1632658,1765179,132521
156246,2018,66849360,3179333,3179333,3437458,258125
27115,2018,80538000,1430440,1430440,1546566,116127
238895,2018,122323800,4107164,4107164,4440656,333491
76268,2018,6454400,204739,204739,221357,16618
263892,2018,78653700,5204486,5204486,5626929,422442
3308,2018,37836200,1717923,1717923,1857364,139442
212065,2018,29313200,934049,934049,1009864,75816
212495,2018,34157800,1371995,1371995,1483397,111402
13097,2018,29014664,1212376,1212376,1310810,98435
235326,2018,40810400,1623211,1623211,1755004,131793
56381,2018,26744800,1322281,1322281,1429619,107338
141979,2018,19260800,758971,758971,820581,61610
42354,2018,52348000,3213838,3213838,3474726,260888
224119,2018,26718600,813941,813941,880007,66067
139271,2018,44613240,1541081,1541081,1666174,125093
186407,2018,32081000,1833730,1833730,1982571,148842
278054,2018,30506944,676518,676518,731602,55084
57729,2018,23963500,1327680,1327680,1435446,107766
28327,2018,34984000,2130730,2130730,2303679,172949
93992,2018,18786880,921412,921412,996201,74790
145608,2018,21355400,660570,660570,714217,53647
251913,2018,28000200,1318157,1318157,1425150,106993
93409,2018,34949200,996750,996750,1077683,80933
58563,2018,16586200,691910,691910,748071,56162
95208,2018,125495000,9503009,9503009,10274357,771348
91215,2018,94841480,6849333,6849333,7405286,555952
213497,2018,24011600,1522895,1522895,1646507,123612
148228,2018,21653000,851237,851237,920348,69112
140391,2018,23875600,503645,503645,544526,40880
48930,2018,67124000,3149321,3149321,3405006,255686
92935,2018,85249840,3499640,3499640,3783726,284086
89643,2018,61109000,1300175,1300175,1405733,105558
98608,2018,30772000,1343701,1343701,1452772,109071
254771,2018,98504580,4306549,4306549,4656137,349588
209574,2018,94907300,5315578,5315578,5747047,431469
167933,2018,12968600,372103,372103,402335,30233
68169,2018,56558200,1352357,1352357,1462131,109774
214292,2018,21778000,1262859,1262859,1365364,102505
36249,2018,28014424,1126479,1126479,1217914,91435
34386,2018,17671000,1188000,1188000,1284429,96429
295118,2018,50687000,1714429,1714429,1853720,139291
257573,2018,8217000,113865,113865,123107,9242
273232,2018,23989400,1075506,1075506,1162824,87317
205479,2018,48322400,2160665,2160665,2336083,175418
120613,2018,19125600,1065905,1065905,1152447,86543
24282,2018,70749000,3702054,3702054,4002595,300540
39403,2018,43916720,1669620,1669620,1805293,135673
236063,2018,27416000,858252,858252,927940,69688
20087,2018,16616400,586110,586110,633836,47726
11231,2018,30519000,1529975,1529975,1654181,124206
128128,2018,45374000,1864593,1864593,2015959,151366
60052,2018,37054333,1978977,1978977,2139647,160670
127883,2018,20098168,657247,657247,710605,53358
9043,2018,21749960,446876,446876,483154,36279
8479,2018,43928800,2052665,2052665,2219307,166642
28673,2018,15378080,375190,375190,405658,30468
28461,2018,61668600,2466196,2466196,2666409,200213
147689,2018,50481408,2393422,2393422,2587693,194271
146325,2018,31248600,1423153,1423153,1538703,115550
276763,2018,45021912,1532755,1532755,1657265,124510
199065,2018,30155600,563150,563150,608909,45759
16280,2018,35708200,1730270,1730270,1870714,140444
245670,2018,44219400,1075562,1075562,1162864,87302
240152,2018,21482340,1006718,1006718,1088432,81714
112854,2018,12141600,266719,266719,288388,21669
258058,2018,16611800,472088,472088,510461,38373
159597,2018,7717000,50541,50541,54643,4102
80738,2018,33497970,1028162,1028162,1111666,83504
286541,2018,16078200,279941,279941,302692,22752
200251,2018,18224200,415254,415254,449009,33755
218498,2018,16492240,297917,297917,322105,24188
202984,2018,42285520,1633242,1633242,1765913,132671
